facility_type,source_id,sigungu,name,lon,lat,props
17,,금정구,장전동 까치공원,129.0863170,35.2380090,"{""시도명"": ""부산광역시"", ""시군구코드"": ""26410"", ""소재지도로명주소"": ""부산광역시 금정구 금강로 337"", ""소재지지번주소"": ""부산광역시 금정구 장전동 220-2"", ""평일운영시작시각"": ""00:00"", ""평일운영종료시각"": ""23:59"", ""토요일운영시작시각"": ""00:00"", ""토요일운영종료시각"": ""23:59"", ""공휴일운영시작시각"": ""00:00"", ""공휴일운영종료시각"": ""23:59"", ""무료이용시간"": ""0"", ""연체료부과단위시간"": ""0"", ""연체료"": ""0"", ""제어방식구분코드"": ""2"", ""사용방법설명"": ""물품배송시 휴대폰 문자로 전송되는 택배보관함번호+인증번호를 확인하여+해당보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령"", ""택배함종류코드"": ""대형/01+중대형/02+중형/03+중소형/04+소형/05"", ""칸개수"": ""01/1+02/1+03/5+04/2+05/10"", ""칸깊이"": ""01/60+02/60+03/5+04/2+05/10"", ""칸너비"": ""01/50+02/50+03/50+04/50+05/50"", ""칸높이"": ""01/90+02/60+03/45+04/30+05/22.5"", ""설치일자"": ""2017-01-01"", ""고객센터전화번호"": ""051-519-4361"", ""관리기관명"": ""부산광역시 금정구청"", ""관리기관전화번호"": ""051-519-4370"", ""데이터기준일자"": ""2026-05-21""}"
17,,금정구,구서동 도시숲,129.0884604,35.2563827,"{""시도명"": ""부산광역시"", ""시군구코드"": ""26410"", ""소재지도로명주소"": ""부산광역시 금정구 중앙대로 1929번길 49"", ""소재지지번주소"": ""부산광역시 금정구 구서동 271"", ""평일운영시작시각"": ""00:00"", ""평일운영종료시각"": ""23:59"", ""토요일운영시작시각"": ""00:00"", ""토요일운영종료시각"": ""23:59"", ""공휴일운영시작시각"": ""00:00"", ""공휴일운영종료시각"": ""23:59"", ""무료이용시간"": ""0"", ""연체료부과단위시간"": ""0"", ""연체료"": ""0"", ""제어방식구분코드"": ""2"", ""사용방법설명"": ""물품배송시 휴대폰 문자로 전송되는 택배보관함번호+인증번호를 확인하여+해당보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령"", ""택배함종류코드"": ""대형/01+중대형/02+중형/03+중소형/04+소형/05"", ""칸개수"": ""01/1+02/1+03/5+04/4+05/10"", ""칸깊이"": ""01/60+02/60+03/5+04/2+05/10"", ""칸너비"": ""01/50+02/50+03/50+04/50+05/50"", ""칸높이"": ""01/90+02/60+03/45+04/30+05/22.5"", ""설치일자"": ""2018-01-01"", ""고객센터전화번호"": ""051-519-4361"", ""관리기관명"": ""부산광역시 금정구청"", ""관리기관전화번호"": ""051-519-4370"", ""데이터기준일자"": ""2026-05-21""}"
17,,남구,무인방범택배보관함,129.0896189,35.1342288,"{""시도명"": ""부산광역시"", ""시군구코드"": ""33100"", ""소재지도로명주소"": ""부산광역시 남구 수영로 208번길 19"", ""평일운영시작시각"": ""00:00"", ""평일운영종료시각"": ""23:59"", ""토요일운영시작시각"": ""00:00"", ""토요일운영종료시각"": ""23:59"", ""공휴일운영시작시각"": ""00:00"", ""공휴일운영종료시각"": ""23:59"", ""무료이용시간"": ""48"", ""연체료부과단위시간"": ""24"", ""연체료"": ""1000"", ""제어방식구분코드"": ""1"", ""사용방법설명"": ""물품주문시 수령장소를 무인택배함으로 지정,택배기사가 물품을 택배함에 넣고 이용자 연락처 입력,이용자에게 택배도착 문자 및 인증번호 발송,이용자가 수취인 인증 후 물품 수령"", ""택배함종류코드"": ""중형/02+소형/04"", ""칸개수"": ""02/02+04/08"", ""칸깊이"": ""02/60+04/60"", ""칸너비"": ""02/50+04/50"", ""칸높이"": ""02/45+04/22.5"", ""설치일자"": ""2020-11-09"", ""고객센터전화번호"": ""1600-5136"", ""관리기관명"": ""부산광역시 남구 안전총괄과"", ""관리기관전화번호"": ""051-607-4284"", ""데이터기준일자"": ""2025-12-30""}"
17,,남구,무인방범택배보관함,129.0949525,35.1311680,"{""시도명"": ""부산광역시"", ""시군구코드"": ""33100"", ""소재지도로명주소"": ""부산광역시 남구 유엔평화로41번길 48"", ""평일운영시작시각"": ""00:00"", ""평일운영종료시각"": ""23:59"", ""토요일운영시작시각"": ""00:00"", ""토요일운영종료시각"": ""23:59"", ""공휴일운영시작시각"": ""00:00"", ""공휴일운영종료시각"": ""23:59"", ""무료이용시간"": ""48"", ""연체료부과단위시간"": ""24"", ""연체료"": ""1000"", ""제어방식구분코드"": ""1"", ""사용방법설명"": ""물품주문시 수령장소를 무인택배함으로 지정,택배기사가 물품을 택배함에 넣고 이용자 연락처 입력,이용자에게 택배도착 문자 및 인증번호 발송,이용자가 수취인 인증 후 물품 수령"", ""택배함종류코드"": ""중형/02+소형/04"", ""칸개수"": ""02/02+04/08"", ""칸깊이"": ""02/60+04/60"", ""칸너비"": ""02/50+04/50"", ""칸높이"": ""02/45+04/22.5"", ""설치일자"": ""2020-11-09"", ""고객센터전화번호"": ""1600-5136"", ""관리기관명"": ""부산광역시 남구 안전총괄과"", ""관리기관전화번호"": ""051-607-4284"", ""데이터기준일자"": ""2025-12-30""}"
17,,남구,무인방범택배보관함,129.0974748,35.1348147,"{""시도명"": ""부산광역시"", ""시군구코드"": ""33100"", ""소재지도로명주소"": ""부산광역시 남구 수영로266번길 43"", ""평일운영시작시각"": ""00:00"", ""평일운영종료시각"": ""23:59"", ""토요일운영시작시각"": ""00:00"", ""토요일운영종료시각"": ""23:59"", ""공휴일운영시작시각"": ""00:00"", ""공휴일운영종료시각"": ""23:59"", ""무료이용시간"": ""48"", ""연체료부과단위시간"": ""24"", ""연체료"": ""1000"", ""제어방식구분코드"": ""1"", ""사용방법설명"": ""물품주문시 수령장소를 무인택배함으로 지정,택배기사가 물품을 택배함에 넣고 이용자 연락처 입력,이용자에게 택배도착 문자 및 인증번호 발송,이용자가 수취인 인증 후 물품 수령"", ""택배함종류코드"": ""중형/02+소형/04"", ""칸개수"": ""02/02+04/08"", ""칸깊이"": ""02/60+04/60"", ""칸너비"": ""02/50+04/50"", ""칸높이"": ""02/45+04/22.5"", ""설치일자"": ""2020-11-09"", ""고객센터전화번호"": ""1600-5136"", ""관리기관명"": ""부산광역시 남구 안전총괄과"", ""관리기관전화번호"": ""051-607-4284"", ""데이터기준일자"": ""2025-12-30""}"
17,,남구,무인방범택배보관함,129.1054198,35.1378848,"{""시도명"": ""부산광역시"", ""시군구코드"": ""33100"", ""소재지도로명주소"": ""부산광역시 남구 수영로358번길 38"", ""평일운영시작시각"": ""00:00"", ""평일운영종료시각"": ""23:59"", ""토요일운영시작시각"": ""00:00"", ""토요일운영종료시각"": ""23:59"", ""공휴일운영시작시각"": ""00:00"", ""공휴일운영종료시각"": ""23:59"", ""무료이용시간"": ""48"", ""연체료부과단위시간"": ""24"", ""연체료"": ""1000"", ""제어방식구분코드"": ""1"", ""사용방법설명"": ""물품주문시 수령장소를 무인택배함으로 지정,택배기사가 물품을 택배함에 넣고 이용자 연락처 입력,이용자에게 택배도착 문자 및 인증번호 발송,이용자가 수취인 인증 후 물품 수령"", ""택배함종류코드"": ""중형/02+소형/04"", ""칸개수"": ""02/02+04/08"", ""칸깊이"": ""02/60+04/60"", ""칸너비"": ""02/50+04/50"", ""칸높이"": ""02/45+04/22.5"", ""설치일자"": ""2020-11-09"", ""고객센터전화번호"": ""1600-5136"", ""관리기관명"": ""부산광역시 남구 안전총괄과"", ""관리기관전화번호"": ""051-607-4284"", ""데이터기준일자"": ""2025-12-30""}"
17,,부산진구,부산진경찰서 옆 무인 안심택배함,129.0544060,35.1602890,"{""시도명"": ""부산광역시"", ""시군구코드"": ""26230"", ""소재지도로명주소"": ""부산광역시 부산진구 부전로111번길 6"", ""소재지지번주소"": ""부산광역시 부산진구 부전동 408-4"", ""평일운영시작시각"": ""00:00"", ""평일운영종료시각"": ""23:59"", ""토요일운영시작시각"": ""00:00"", ""토요일운영종료시각"": ""23:59"", ""공휴일운영시작시각"": ""00:00"", ""공휴일운영종료시각"": ""23:59"", ""무료이용시간"": ""48"", ""연체료부과단위시간"": ""0"", ""연체료"": ""0"", ""제어방식구분코드"": ""1"", ""사용방법설명"": ""물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령"", ""택배함종류코드"": ""대형/01+중형/02+중소형/03+소형/04"", ""칸개수"": ""01/1+02/2+03/6+04/16"", ""칸깊이"": ""01/550+02/550+03/550+04/550"", ""칸너비"": ""01/500+02/500+03/500+04/500"", ""칸높이"": ""01/900+02/600+03/400+04/200"", ""설치일자"": ""2020-04-23"", ""고객센터전화번호"": ""070-8770-4282"", ""관리기관명"": ""부산광역시 부산진구 가족지원과"", ""관리기관전화번호"": ""051-605-4362"", ""데이터기준일자"": ""2026-01-19""}"
17,,부산진구,개금1치안센터 옆 무인안심택배함,129.0209260,35.1504630,"{""시도명"": ""부산광역시"", ""시군구코드"": ""26230"", ""소재지도로명주소"": ""부산광역시 부산진구 냉정로191-1"", ""소재지지번주소"": ""부산광역시 부산진구 개금동 177-173"", ""평일운영시작시각"": ""00:00"", ""평일운영종료시각"": ""23:59"", ""토요일운영시작시각"": ""00:00"", ""토요일운영종료시각"": ""23:59"", ""공휴일운영시작시각"": ""00:00"", ""공휴일운영종료시각"": ""23:59"", ""무료이용시간"": ""48"", ""연체료부과단위시간"": ""0"", ""연체료"": ""0"", ""제어방식구분코드"": ""1"", ""사용방법설명"": ""물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령"", ""택배함종류코드"": ""대형/01+중형/02+중소형/03+소형/04"", ""칸개수"": ""01/1+02/1+03/5+04/13"", ""칸깊이"": ""01/550+02/550+03/550+04/550"", ""칸너비"": ""01/500+02/500+03/500+04/500"", ""칸높이"": ""01/900+02/600+03/400+04/200"", ""설치일자"": ""2020-04-23"", ""고객센터전화번호"": ""070-8770-4282"", ""관리기관명"": ""부산광역시 부산진구 여성가족과"", ""관리기관전화번호"": ""051-605-4362"", ""데이터기준일자"": ""2026-01-19""}"
17,,북구,부산과학기술대학교 여성안심무인택배함,129.0053031,35.1941945,"{""시도명"": ""부산광역시"", ""시군구코드"": ""26320"", ""소재지도로명주소"": ""부산광역시 북구 시랑로 132번길 88"", ""소재지지번주소"": ""부산광역시 북구 구포동 870"", ""평일운영시작시각"": ""00:00"", ""평일운영종료시각"": ""23:59"", ""토요일운영시작시각"": ""00:00"", ""토요일운영종료시각"": ""23:59"", ""공휴일운영시작시각"": ""00:00"", ""공휴일운영종료시각"": ""23:59"", ""무료이용시간"": ""0"", ""연체료부과단위시간"": ""0"", ""연체료"": ""0"", ""제어방식구분코드"": ""2"", ""사용방법설명"": ""물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령"", ""택배함종류코드"": ""특대형/01+대형/02+중형/03+소형/04"", ""칸개수"": ""01/01+02/01+03/05+04/12"", ""칸깊이"": ""01/550+02/550+03/550+04/550"", ""칸너비"": ""01/500+02/500+03/500+04/500"", ""칸높이"": ""01/900+02/675+03/450+04/225"", ""설치일자"": ""2018-07-01"", ""고객센터전화번호"": ""070-4117-4282"", ""관리기관명"": ""부산광역시 북구청"", ""관리기관전화번호"": ""051-309-4374"", ""데이터기준일자"": ""2026-03-20""}"
17,,북구,덕천2치안센터 여성안심무인택배함,129.0077429,35.2123633,"{""시도명"": ""부산광역시"", ""시군구코드"": ""26320"", ""소재지도로명주소"": ""부산광역시 북구 금곡대로 20번길 56"", ""소재지지번주소"": ""부산광역시 북구 덕천동 346-1"", ""평일운영시작시각"": ""00:00"", ""평일운영종료시각"": ""23:59"", ""토요일운영시작시각"": ""00:00"", ""토요일운영종료시각"": ""23:59"", ""공휴일운영시작시각"": ""00:00"", ""공휴일운영종료시각"": ""23:59"", ""무료이용시간"": ""0"", ""연체료부과단위시간"": ""0"", ""연체료"": ""0"", ""제어방식구분코드"": ""2"", ""사용방법설명"": ""물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령"", ""택배함종류코드"": ""특대형/01+대형/02+중형/03+소형/04"", ""칸개수"": ""01/01+02/01+03/05+04/12"", ""칸깊이"": ""01/550+02/550+03/550+04/550"", ""칸너비"": ""01/500+02/500+03/500+04/500"", ""칸높이"": ""01/900+02/675+03/450+04/225"", ""설치일자"": ""2022-10-12"", ""고객센터전화번호"": ""070-4117-4282"", ""관리기관명"": ""부산광역시 북구청"", ""관리기관전화번호"": ""051-309-4374"", ""데이터기준일자"": ""2026-03-20""}"
